v1,v2
TRUE,"A big blue gun was pointing directly at Dean's mid section, out of sight of the others by the man's position."
TRUE,A bite with those things would kill her.
TRUE,"A bomber dropped a single bomb on a parade field in the capital, without loss of life."
TRUE,A certain Persian king was accustomed to kill his wives on the morning after the consummation of the marriage.
FALSE,A coquettish laugh escaped the mouth of the young girl trying to earn the attention of Matt.
TRUE,A female slave was still held incapable of the offence of adultery; but Justinian visited with death alike the rape of a slave or freedwoman and that of a free maiden.
FALSE,A five minute walk found us at the waterfront and beach.
FALSE,"A form leapt in between them, and she recognized the laugh as that of the crazy Grey God."
TRUE,"A form of duelling with the seeds is also known among the natives, in which the two opponents divide a bean, each eating one-half; that quantity has been known to kill both adversaries."
FALSE,A good brisk walk up a steep rugged trail would leave him too exhausted to make advances.
TRUE,"A great gun was fired to different points of the compass and all the country within its range, including the town of Cuddalore, passed into the possession of the English."
FALSE,"A half-hour later, at the creek, Gerald decided he wanted to walk a while."
TRUE,"A large Mygale found on the island of Siriba, of the Abrolhos group, feeds upon lizards, and has been known to attack and kill young chickens."
TRUE,"A large working population is employed in the Royal Arsenal, which occupies a large area on the river-bank, and includes the Royal Gun Factory, Royal Carriage Department, Royal Laboratory and Building Works Department."
TRUE,A man is not armed because he has custody of a weapon.
TRUE,"A military commission tried 425 of the captives for murder and rape, of whom 321 were found guilty and 303 were condemned to death."
TRUE,"A more satisfactory explanation has been offered by Dieterich (Abraxas, 117 sqq.), who finds in this chapter an adaptation of the birth of Apollo and the attempt of the dragon Pytho to kill his mother Schopfung and Chaos § 3, Religionsgesch."
TRUE,A nearby bomb would remove the brickwork allowing the concrete roof to fall in on the occupants.
FALSE,"A plate of half-finished food sat on the coffee table, and the kitchen was a disaster."
TRUE,A political solution which satisfies the legitimate aspirations of the Kashmiri people alone can bring to an end the Kashmir conflict.
TRUE,A recovering victim of any kind of rape situation needs continuing guidance to rebuild self esteem and trust.
TRUE,"A responsive, informed citizenry is the best weapon we have against crime."
FALSE,A short pause is followed by a raucous laugh.
FALSE,A short walk up the road uncovered another mailbox.
FALSE,"A slight burst of tears followed from Martha until Dean rendered a speech on survival of the fittest, the laws of the jungle, the food chain and supply and demand."
TRUE,A sling shot in my hands is a kid's toy A sling shot in my hands is a kid's toy A sling shot in David's hand was a mighty weapon.
FALSE,A smile flickered across his face and turned into a laugh.
FALSE,A smile touched the corners of his mouth and played in the laugh lines beside his eyes.
FALSE,A soft laugh escaped his throat.
FALSE,"A study of the whole vegetable kingdom, however, negatives the theory that the compounds absorbed are in the strict sense to be called food."
TRUE,"A terrible lore that allows spell casters, both Arcane and Divine to rape the land of its very life to fuel their magic."
TRUE,"A two-edged weapon, of which the blade is of sharks' teeth, and a defensive armour of braided sennit, are also peculiar to the islands; a large adze, made of the shell of the Tridacna gigas (the largest bivalve known), was formerly used in the Carolines, probably by the old builder race."
FALSE,A woman in tonight's audience had a laugh like a hyena and she laugh like a hyena and she laughed all the time.
FALSE,"A laugh bubbled from within her, along with tears."
FALSE,A laugh bubbled up.
FALSE,A walk through the woods thither was often my recreation.
FALSE,"Aaron took quick steps, the way Alex did, and Rob had a tireless power walk."
TRUE,"Abi Arta to Basra, with orders to capture Ziyad's three sons, and to force Ziyad into submission by threatening to kill them."
FALSE,Abisares preferred to play a double game and wait upon events.
TRUE,"Above this is the kamarchin, a tunic of colored calico, cloth, Kashmir or Kermn shawl, silk, satin or velvet (gold embroidered, or otherwise), according to the time of the year and the purse and position of the wearer."
TRUE,Abu Muhammad ibn Abi Zayd gave a fatwa to kill a man who was listening to some people discussing what the Prophet looked like.
TRUE,"According to his view, the seeds of the peach, cultivated for ages in China, might have been carried by the Chinese into Kashmir, Bokhara, and Persia between the period of the Sanskrit emigration and the Graeco-Persian period."
TRUE,"According to the experi ments of Celli and Casagrandi, these are the most effective culicides; when used in sufficient quantity they kill mosquitoes in one minute."
TRUE,"According to the London-based International Institute of Strategic Studies, Iran will have enough fissile nuclear material to make a bomb within three years."
TRUE,Across the road from the camp is the closely watched GM oilseed rape field trial.
FALSE,"Add to that how food itself is changing, our food choices change, our lifestyles change, and all along the way we are aging."
FALSE,"Add to this, a backpack, some food and liquid, not to mention your garments."
FALSE,Adding some gummy worms to a person's lunch is a way to get a good laugh in the middle of the day.
TRUE,"After a colored sash is finished, it is possible to take a weapon grading."
