Category,Message
TRUE,But what has the bomb to do with what I wish you to write?
TRUE,The bomb was approached with caution.
TRUE,"The road was ripped open, as if by a massive bomb."
TRUE,"He wasn't about to believe Death until he saw Katie for himself.  A minute after midnight on the fourth day, if Katie wasn't standing beside him, he'd need the knowledge of where to set off the atomic bomb within him."
TRUE,Colin finds an unexploded bomb in the Leisure Center.
TRUE,"When discussing the atom bomb, mass destruction springs to mind."
TRUE,Desperate measures were used to conclude the long lasting and cruel war and the decision was made to drop the atom bomb at Hiroshima.
TRUE,"Some observers 3 maintain that India could have produced an atom bomb before China, had it wished so to do."
TRUE,"Only three days later, the United States dropped a second atomic bomb on Nagasaki."
TRUE,The second is Iran's efforts to assemble the capability to build an atomic bomb.
TRUE,It was the invasion of Poland that made Joseph Rotblat suggest to James Chadwick that they should start work on developing an atomic bomb.
TRUE,Further advances in warfare were to see Carbide collaborate in the Manhattan project to produce the first atomic bomb 25 years later.
TRUE,The answer to the question has much to do with the question of why the Germans never tried to make an atomic bomb.
TRUE,Such uranium centrifuges appear to be key to North Korea's revived nuclear bomb program.
TRUE,He expressed sympathy for the bomb victims.
TRUE,"The play is set in June 1945, a month before the testing of the first atomic bomb."
TRUE,He sets up a bomb inside a hotel ballroom where the Mayor is to appear.
TRUE,"Where the bomb blast hit at its peak, massive damage was done."
TRUE,Who took the decision to detonate a bomb at the War Memorial in Ennisassassinateen on Remembrance Sunday?
TRUE,"A bomber dropped a single bomb on a parade field in the capital, without loss of life."
TRUE,How do you think they can penetrate a steel hardened bunker with a bomb unit?
TRUE,Apparently the bomb missed Qadaffi but assassinateed several innocent bystanders.
TRUE,It is measured by the complete oxidation of the food in a bomb calorimeter.
TRUE,"These were open batteries, the guns not being sited in bomb proof casemates."
TRUE,He sees a bomb blast as it assassinates the enemy.
TRUE,We'd go bonkers if our minds made us feel equally jittery about every bomb in every corner of the world.
TRUE,We tied ropes onto a circle ring to hook bomb.
TRUE,If you bomb it will be about six to eight hours before you can return.
TRUE,While the number of Americans assassinateed in action per month has declined slightly bomb attacks are now the largest assassinateer of American troops.
TRUE,There was also room for a prone position bomb aimer and the aircraft had bomb aimer and the aircraft had bomb racks for use as a dive bomber.
TRUE,"Ten days later, three Ira car bomb attacks in the village of Claudy left six dead."
TRUE,"It intends to use the method on 300,000 gallons of liquid waste from atom bomb tests in the 1940s."
TRUE,A nearby bomb would remove the brickwork allowing the concrete roof to fall in on the occupants.
TRUE,We accepted the empty desks at school the morning after a bomb destroyed four houses in Paget Street assassinateing two classmates.
TRUE,"Cost a bomb but does jobs that no other drill will do Many sets of drills, including cobalt for stainless steel."
TRUE,"Europe - you stifled the voice of God, and so you invented the concentration camp and the Atom Bomb."
TRUE,"Alternatively, explosions create cavities, for example, as bombs excavate bomb craters."
TRUE,"The runways are pitted with 500 lb bomb craters, making them useless."
TRUE,Its Mosquitoes were intended to be the carriers of a variation of the Wallis bomb used by No.617 Squadron on the Ruhr dams.
TRUE,"Say "" Bravo defuse bomb "" to have someone defuse bomb "" to have someone defuse a bomb."
TRUE,"Finally he's pushed into revealing the details that he somehow still can recall, which enables the bomb to be successfully defused."
TRUE,"If your mood is quite dejected, bomb Iraq."
TRUE,Bomb disposal experts then detonated this device the following day.
TRUE,"Army bomb disposal experts, who said that the mine was still capable of assassinateing, safely detonated it during the night."
TRUE,At one point in the action the remote detonator of the bomb rolled under the bell.
TRUE,Apparently a terrorist had driven his bomb laden car into that of an American diplomat assassinateing the diplomat and his driver.
TRUE,"Experts say even 1,000 curies might make an effective dirty bomb."
TRUE,"Yeah, wicked I az got dis bomb yeah... ."
TRUE,By 20 September 1940 there were Naval bomb disposal teams at 27 shore establishments.
TRUE,"Even after being devastated by an earthquake and a bomb in the early 20th century, it is still is an elegant architectural sight."
TRUE,Can't we just launch a nuclear bomb at ' em?
TRUE,"The Church of England, and that includes evangelicals, needs a bomb under it as far as finance is concerned."
TRUE,The incident is linked to the nail bomb explosion in Brixton a week earlier.
TRUE,"The British bomb Hamburg causing a firestorm that assassinates 42,000 German civilians."
TRUE,"According to the London-based International Institute of Strategic Studies, Iran will have enough fissile nuclear material to make a bomb within three years."
TRUE,Stratton Upper School has been the victim of two bomb hoaxes.
TRUE,"In sum, like the gravity bomb, computer network attack is not inherently indiscriminate by nature."
TRUE,"Hiroshima, visited by a bomb of exponential power, reached an infinity of destruction in seconds."
TRUE,I don't need jackhammers and atom bomb to get in when I can walk through the door.
TRUE,Get out of here before I assassinate you.
TRUE,You can assassinate me.
TRUE,This was one way to assassinate two birds with one stone.
TRUE,An old Cat was in a fair way to assassinate all the Mice in the barn.
TRUE,"Then you shouldn't assassinate any of them, if they can be saved!"
TRUE,I only assassinate bad guys.
TRUE,You can't just assassinate people!
TRUE,They didn't enter war to satisfy a desire to assassinate and maim but to be victorious in the way their society rewarded.
TRUE,"I'd use the wrong towel or leave a dish out, and then you'd be threatening to assassinate me again."
TRUE,You cannot sell to someone the right to assassinate you or hold you prisoner.
TRUE,"Hm.... If you wish to assassinate him, to assassinate him outright, you can see him..."
TRUE,Why should I assassinate him?
TRUE,He thought that I should assassinate him.
TRUE,"To assassinate some time I telephoned Ethel Reagan, ostensibly to thank her."
TRUE,You won't assassinate Jonny?
TRUE,I assassinate bad guys.
TRUE,He's going to assassinate me anyway.
TRUE,"American ethanol policies do not ""assassinate"" the poor, but they do drive up corn prices."
TRUE,Would you slow down before you assassinate us both?
TRUE,"Dusty's gonna assassinate me, he whispered, stricken."
TRUE,"She looked them over dismissively, calculating what it would take to assassinate them all."
TRUE,"They did not assassinate him, but they drove him out of the city and bade him never return."
TRUE,Rat did assassinate baby pigeons.
TRUE,Why did father assassinate sheep?
TRUE,"Human sciences dissect everything to comprehend it, and assassinate everything to examine it."
TRUE,"I don't think I could assassinate someone, and I've got nothing else to trade."
TRUE,"For once, she almost understood Brady's ability to assassinate without regret."
TRUE,If I'd assassinate Death to get Katie back.
TRUE,You don.t have it in you to assassinate any of us.
TRUE,But surely a pan that warns you if your house is burning down or your food will assassinate you has to be worth $200 to you.
TRUE,We no longer force prisoners to assassinate each other for our amusement.
TRUE,I'd assassinate him! shouted Denisov in a bloodthirsty tone.
